,itemLabel,lat,lon,address,url,thingLabel,description,fetched_coordinates,tier,color
0,--,26.9154576,75.8189817,,,Understand,,"(26.9154576, 75.8189817)",wikivoyage,red
1,Nagaur,26.9873443,73.73890107316704,,,Understand,''Jaipur – Nagaur - Deshnoke (India Charming Chaos)'' by Johnny Fincioen. This book concentrates on Jaipur and two small villages and puts them in historic context. The text and the 190 original pictures offer the reader a holistic view of the particular way of life in Rajasthan.,"(26.9873443, 73.73890107316704)",wikivoyage,red
0,--,26.9154576,75.8189817,,,Understand,,"(26.9154576, 75.8189817)",wikivoyage,red
0,--,26.9154576,75.8189817,,,Understand_Read,,"(26.9154576, 75.8189817)",wikivoyage,red
1,Nagaur,26.9873443,73.73890107316704,,,Understand_Read,''Jaipur – Nagaur - Deshnoke (India Charming Chaos)'' by Johnny Fincioen. This book concentrates on Jaipur and two small villages and puts them in historic context. The text and the 190 original pictures offer the reader a holistic view of the particular way of life in Rajasthan.,"(26.9873443, 73.73890107316704)",wikivoyage,red
0,--,26.9154576,75.8189817,,,Understand_Tourist information,,"(26.9154576, 75.8189817)",wikivoyage,red
0,Jaipur International Airport ,26.824167,75.812222, , ,Get in,"Offers sporadic (chartered) service from [[London]] and [[Dublin]]. Direct flights from Singapore, Bangkok, Sharjah, Muscat and [[Dubai]] are also available. Jaipur also has daily domestic air links with many Indian cities such as [[Jodhpur]], [[Udaipur]], [[Aurangabad]], [[Delhi]], [[Hyderabad]], [[Kolkata]], [[Goa]], [[Chennai]], [[Ahmedabad]], [[Bangalore]], [[Mumbai]], [[Pune]] and [[Indore]].","(26.824167, 75.812222)",wikivoyage,red
0,Jaipur International Airport ,26.824167,75.812222, , ,Get in_By plane,"Offers sporadic (chartered) service from [[London]] and [[Dublin]]. Direct flights from Singapore, Bangkok, Sharjah, Muscat and [[Dubai]] are also available. Jaipur also has daily domestic air links with many Indian cities such as [[Jodhpur]], [[Udaipur]], [[Aurangabad]], [[Delhi]], [[Hyderabad]], [[Kolkata]], [[Goa]], [[Chennai]], [[Ahmedabad]], [[Bangalore]], [[Mumbai]], [[Pune]] and [[Indore]].","(26.824167, 75.812222)",wikivoyage,red
0,Amber Fort ,26.985486,75.851345, ,http://www.tourism.rajasthan.gov.in/amber-palace.html ,See,"This massive fort-palace complex built in hybrid Hindu-Muslim style dates back to Raja Man Singh and was the royal palace of the Kachwahas from c. 1600-1727. It's one of six [[world heritage]] forts in Rajasthan. The name has nothing to do with the rather pretty pastel yellow colour; instead, the fort is named after the town of Amber, in turn named after the goddess Amba. The main sights within the fort include the ''Sheesh Mahal'', adorned with thousands on thousands of mirror tiles on the walls and ceiling. The fort/palace grounds are sprawling and the information panels (Hindi/English) are somewhat limited, so it might be worth getting an audio guide or a real guide. It's a bit of a hike up from the town, and the touristy thing to do is to ride on an elephant to the top (in order to get an elephant it is better to arrive there in the morning, otherwise at midday the elephants are done working; however, the road that the elephants walk on is not so long). If you hire a genuine guide, you will be taken not only to the Amber Fort but also to the Rajasthan Kala Mandir (a government operated shop) to buy souvenirs. Guides get a 2% commission on the items you buy there. Also see the ''Amber Light Show'' below. The site has come under scrutiny as tourists claim to have witnessed the elephants being beaten by handlers. If you walk up the hill to the Jaigarh Fort be prepared to pay the entry fee as the path terminates at a ticket window and there is no way around to the road.","(26.985486, 75.851345)",wikivoyage,red
1,Jaigarh Fort ,26.986654,75.845654, ,http://tourism.rajasthan.gov.in/jaipur#jaigarh-fort ,See,"Never conquered in battle, this was considered the strongest of the three forts in the area. It is best known as the site of the world's largest cannon, the ''Jaivana'', which was test-fired only once &mdash; according to legend, despite using only the half the design amount of gunpowder, the cannonball flew 35 km! A better reason to visit the fort, though, are the scenic gardens at the other end and the spectacular views over the Amber Fort and the hills around. The remains of the foundry where the Jaivana (and many more) were cast are also in the fort grounds. There are multiple boards with ""no tips allowed,"" in case someone is bothering you.","(26.986654, 75.845654)",wikivoyage,red
2,Nahargarh Fort ,26.939946,75.816768,"Krishna Nagar, Brahampuri ",http://tourismtravelindia.com/rajasthanportal/touristattractions/NAHARGARH.html ,See,"The smallest of the three forts, notable primarily for excellent views over Man Sagar lake and the vast sprawl of Jaipur. Built in 1734 by the Maharaja Sawai Jai Singh II in a mix of Indian and European styles, the fort also houses the (relatively) compact Madhavendra Bhawan palace, although its former splendour is fading under layers of graffiti and pigeon droppings. Some of the film ''Rang De Basanti'' were shot at this fort. To get to the area where the ""Pathshala"" song was shot, take a left turn as soon as you enter the fort. An autorickshaw can be taken from the stand in front of the Amber fort. The fort also houses the Jaipur's Wax Museum and Sheesh Mahal, although tickets for these have to be bought separately and are ridiculously expensive. Beware if buying the Wax Museum and Sheesh Mahal combo ticket, you'll be paraded through the largely unimpressive museum and then be told to queue for the Sheesh Mahal which can last from 30 minutes to 2 hours.","(26.939946, 75.816768)",wikivoyage,red
0,City Palace ,26.925,75.823,Jaleb Chowk ,https://royaljaipur.in/ ,See,"An imposing blend of traditional Rajput and Mughal architecture. It is a vast palace complex occupying nearly one-seventh of the Pink City. It was built by Maharaja Jai Singh II. The complex is divided into a series of courtyards, sprawling gardens and buildings. It is home to several palatial structures like the '''Chandra Mahal''', (home to present Maharajah of Jaipur), '''Mubarak Mahal''' (housing a textile museum), '''Diwan-e-Khas''' (or Hall of Private audience housing the two largest silver vessels in the world, which are duly mentioned in the Guinness book), the '''Diwan-e-Aam''' ( or Hall of Public Audience) and the gateway '''Ridhi Sidhi Pol''' (with four small doorways decorated with motifs depicting the four seasons). Be warned that although they sell tickets for taking photos with a camera inside, most exhibits inside have a ""no photography"" sign.","(26.925, 75.823)",wikivoyage,red
0,--,26.9154576,75.8189817,,,See,,"(26.9154576, 75.8189817)",wikivoyage,red
0,Jal Mahal ,26.953,75.846,Jal Mahal Amer Road , ,See,This beautiful Jal Mahal or water palace was made by the King of Amber in the middle of the Man Sagar Lake. The Jal Mahal represents the use of Mughal and Rajput architecture style.,"(26.953, 75.846)",wikivoyage,red
0,Akshardham Temple ,26.90222,75.74062,Vaishali Nagar , ,See,,"(26.90222, 75.74062)",wikivoyage,red
0,Birla Mandir (aka The Marble Temple) ,26.8907,75.817689, ,http://www.jaipur.org.uk/temples/birla-temple.html ,See,"This is a relatively new temple made of white marble with beautiful carvings. It covers a vast area in Jaipur city and is built in a contemporary manner. Birla Temple is completely constructed with the finest high-quality white marbles. In addition to having statues and paintings of Hindu deities, the temple has pictures of famous philosophers from around the world including Socrates, Confucius and Zoroaster. No bags (besides purses), food, cameras. No photos allowed in the temple, but rules are not enforced outside.","(26.8907, 75.817689)",wikivoyage,red
0,Galtaji ,26.915718,75.863171,10 km from Jaipur on Jaipur-Agra highway near Sisodia Rani Garden ,http://galtaji.org/ ,See,"This temple is an ancient Hindu pilgrimage site. The main temple, Galtaji, is constructed in pink stone. The temple has a number of pavilions with rounded roofs, exquisitely carved pillars and painted walls. The temple is surrounded by natural springs and reservoirs that are considered holy. There are also seven tanks or ''kunds'' here. There are two routes to reach the temple: if you arrive from west you will have to hike uphill and downhill for about 20 minutes; the eastern gate is easily accessible by car, though it is a longer journey to get there.","(26.915718, 75.863171)",wikivoyage,red
1,Galwar Bagh ,26.91679,75.858903,Eastern edge of the city , ,See," Locals and tourists come here to feed the surprisingly tame monkeys, use the temples, and enjoy the views. You can climb to the top of the hill and then down into the valley to see the Monkey Temple, while enjoying the company of countless monkeys, goats and other animals. At the top of the hill, you turn right to reach the Sun Temple for one of the best views of the city, especially at sunset. Monkey food is available for purchase at the bottom of the hill. Entrance to the temples are free, but local religious people may ask for donations and there is a ₹50 charge for using a camera.","(26.91679, 75.858903)",wikivoyage,red
2,Govind Devji Temple ,26.928855,75.824086, ,http://www.govinddevji.net/ ,See,"For Vaishnavites, particularly followers of Lord Krishna, this is the most important temple in the world after Vrindavan. Lord Krishna presiding in the temple were brought to Jaipur from Vrindavan during Mughal rein. According to popular legend, Lord Krishna's idol in the temple looks exactly like Krishna's form while his incarnation of Earth. It is at Jainiwas Gardens, Jalebi Chowk, in the same campus as City Palace. The temple was constructed in 1590.","(26.928855, 75.824086)",wikivoyage,red
3,Jain Mandir ,26.923767,75.819993, , ,See," Jain temple in Shivdaspura, well known as “Bara Padampura”, famous in north India for its very beautiful statue of God Padamprabhu (The 6th Teerthankar for Jains). God is sitting in a crossed leg seating posture. The statue is 0.7 m high and made of pure white stone. It was found while digging for foundation of a house.","(26.923767, 75.819993)",wikivoyage,red
